,IBGE_DU,IBGE_DU_URBAN,IBGE_POP,IBGE_15-59,IDHM,LONG,LAT,GDP,GDP_CAPITA,CITY_STATE
1228,7653.0,5024.0,14708.0,9219.0,0.662,-40.83008116,-18.37525238,344137.34,14195.33,Ecoporanga - ES
1229,1363.0,943.0,2539.0,1600.0,0.7,-49.66469511,-17.4228917,240508.47,63109.02,Edealina - GO
1230,3801.0,3200.0,9454.0,6286.0,0.74,-49.93442396,-17.33808003,714.06,58818.79,Edéia - GO
1231,4247.0,2203.0,7186.0,4381.0,0.691,-48.10322842,-24.52538661,224074.93,14561.67,Eldorado - SP
1232,3641.0,3080.0,9295.0,6057.0,0.684,-54.28002825,-23.77405392,324688.44,26666.26,Eldorado - MS
1233,4327.0,3092.0,10119.0,6114.0,0.58,-42.13814445,-6.201719461,116983.5,8120.47,Elesbão Veloso - PI
1234,4429.0,3610.0,12535.0,8315.0,0.695,-47.37677424,-23.04253672,594.38,34474.83,Elias Fausto - SP
1235,1331.0,1084.0,3407.0,2048.0,0.595,-43.66481113,-8.09646229,40795.24,8460.23,Eliseu Martins - PI
1236,994.0,910.0,2839.0,1908.0,0.747,-49.11083589,-21.16442902,62.63,17926.03,Elisiário - SP
1237,2568.0,1097.0,3245.0,1980.0,0.623,-39.52048556,-12.94332584,58940.49,6976.86,Elísio Medrado - BA
1238,7718.0,6233.0,20303.0,13173.0,0.685,-45.5664342,-21.60931278,554101.38,20145.48,Elói Mendes - MG
1239,831.0,571.0,2116.0,1282.0,0.595,-37.71458598,-7.107992232,29143.45,8310.08,Emas - PB
1240,802.0,689.0,2060.0,1379.0,0.73,-48.83262029,-20.98266805,47.87,19309.05,Embaúba - SP
1241,1018.0,853.0,2497.0,1602.0,0.727,-51.48043143,-21.83130898,59709.61,18741.24,Emilianópolis - SP
1242,7078.0,6183.0,16766.0,11284.0,0.767,-51.87302313,-29.23991721,768.58,34921.24,Encantado - RS
1243,1482.0,621.0,2126.0,1306.0,0.629,-38.30487899,-6.111134201,40435.01,7182.06,Encanto - RN
1244,6648.0,1470.0,4193.0,2734.0,0.544,-40.90912075,-15.53458018,181803.58,9164.87,Encruzilhada - BA
1245,1940.0,702.0,1773.0,1160.0,0.752,-53.16618527,-25.94075598,218696.87,35376.39,Enéas Marques - PR
1246,4609.0,4052.0,12266.0,8037.0,0.73,-52.26003515,-23.80114407,397182.9,27753.68,Engenheiro Beltrão - PR
1247,3208.0,2605.0,8325.0,5061.0,0.644,-42.04984169,-19.19810287,108.49,9833.78,Engenheiro Caldas - MG
1248,4652.0,3322.0,10325.0,6867.0,0.732,-47.21307973,-22.49118995,439.78,23074.63,Engenheiro Coelho - SP
1249,2061.0,1363.0,4724.0,3012.0,0.655,-43.94941474,-17.28775321,72175.41,9794.47,Engenheiro Navarro - MG
1250,349.0,219.0,598.0,403.0,0.72,-52.9119205,-27.70858652,53181.96,38904.14,Engenho Velho - RS
1251,1649.0,1264.0,3885.0,2390.0,0.634,-42.23235998,-19.62778335,50028.98,9269.78,Entre Folhas - MG
1252,11091.0,6627.0,23777.0,15032.0,0.615,-38.07877702,-11.93726137,467.04,10818.03,Entre Rios - BA
1253,646.0,292.0,928.0,588.0,0.657,-52.56253397,-26.7236211,51.31,16199.91,Entre Rios - SC
1254,3050.0,1649.0,4890.0,3132.0,0.68,-54.27143185,-28.36279428,342.65,38038.62,Entre-Ijuís - RS
1255,1730.0,1441.0,2888.0,1768.0,0.623,-36.71641243,-6.945842749,64.23,10523.94,Equador - RN
1256,880.0,655.0,1958.0,1251.0,0.71,-52.2997114,-27.84919594,97.04,31661.36,Erebango - RS
1257,33117.0,31381.0,90187.0,61477.0,0.78,-52.2758769,-27.63340581,4430326.76,43052.17,Erechim - RS
1258,1891.0,1001.0,3453.0,2147.0,0.61,-38.34725896,-6.03133273,51.31,7192.11,Ererê - CE
1259,2659.0,542.0,1999.0,1293.0,0.584,-42.13616373,-13.4223478,56.85,4985.01,Érico Cardoso - BA
