,T_min,Freq,RelCost,Dist,CITY_STATE_A,CITY_STATE_B
10745,210,2.0,0.157,143.82971127666724,Itagi - BA,Milagres - BA
10746,230,79.0,0.157,115.27058068894392,Salvador - BA,Santa Teresinha - BA
10747,50,66.0,0.157,17.966278392555882,Agrolândia - SC,Agronômica - SC
10748,50,58.0,0.157,21.167082652344593,Igrejinha - RS,Sapiranga - RS
10749,585,2.0,0.157008547008547,403.783318417795,Prado - BA,Wenceslau Guimarães - BA
10750,940,4.0,0.157010638297872,517.3570152033594,Cascavel - PR,Farroupilha - RS
10751,1405,14.0,0.157010676156584,1092.2416553826818,Pindaí - BA,Santo André - SP
10752,620,10.0,0.157016129032258,353.6869829394246,Frederico Westphalen - RS,Igrejinha - RS
10753,2700,28.0,0.157025925925926,1965.709518044748,Luís Eduardo Magalhães - BA,Panambi - RS
10754,240,32.0,0.157041666666667,198.26466064206835,Baixa Grande - BA,Irecê - BA
10755,3120,4.0,0.157048076923077,2276.2457833139074,Tianguá - CE,São Paulo - SP
10756,295,11.0,0.157050847457627,157.40477122549856,Mariópolis - PR,Videira - SC
10757,1040,1.0,0.157067307692308,571.8347487714875,Céu Azul - PR,Sapiranga - RS
10758,529,42.0,0.157069943289225,473.4530371902193,Tailândia - PA,Xinguara - PA
10759,410,98.0,0.157073170731707,265.10470563095964,Mara Rosa - GO,Nerópolis - GO
10760,770,7.0,0.157077922077922,603.62548369404,Sobral - CE,Macaíba - RN
10761,120,2.0,0.157083333333333,76.88381290046334,Estiva - MG,Bragança Paulista - SP
